epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9365,0.76518,3.61096,1.03818,0.9263,0.16756,0.65361,0.48605,0.72591,3.52702,1.03793,0.000409091,0.000409091,0.000409091
2,60.8635,0.76825,2.49605,1.02342,0.65858,0.68123,0.73158,0.54714,0.83036,2.21035,1.12729,0.000798508,0.000798508,0.000798508
3,90.8644,0.80992,2.16681,1.037,0.71963,0.55391,0.63808,0.47704,0.91137,2.39528,1.21108,0.00116042,0.00116042,0.00116042
4,120.735,0.77366,1.71031,1.01722,0.91872,0.76871,0.844,0.65435,0.76213,1.27723,1.05105,0.00112625,0.00112625,0.00112625
5,149.757,0.73189,1.43069,1.00926,0.81832,0.78705,0.8332,0.64323,0.73205,0.86456,1.05095,0.001085,0.001085,0.001085
6,178.031,0.73169,1.208,1.01408,0.86514,0.79432,0.85371,0.63736,0.74833,0.7882,1.03054,0.00104375,0.00104375,0.00104375
7,206.345,0.7288,1.03932,1.00171,0.88619,0.78589,0.85445,0.6799,0.72058,0.70176,1.00415,0.0010025,0.0010025,0.0010025
8,234.453,0.69522,0.9201,0.99136,0.93137,0.83016,0.90787,0.72128,0.6747,0.61487,0.97767,0.00096125,0.00096125,0.00096125
9,262.52,0.66212,0.81039,0.97293,0.91765,0.84708,0.91787,0.74125,0.65977,0.59437,0.97386,0.00092,0.00092,0.00092
10,291.123,0.66947,0.74492,0.97986,0.96166,0.83479,0.90726,0.74102,0.65135,0.53805,0.97043,0.00087875,0.00087875,0.00087875
11,319.259,0.65269,0.68432,0.96958,0.92321,0.89262,0.93697,0.77416,0.60896,0.48936,0.94183,0.0008375,0.0008375,0.0008375
12,347.078,0.64806,0.6649,0.97455,0.92224,0.91349,0.94754,0.76393,0.63877,0.46724,0.9546,0.00079625,0.00079625,0.00079625
13,375.578,0.63319,0.61585,0.94557,0.93747,0.923,0.96279,0.77912,0.61205,0.43649,0.93612,0.000755,0.000755,0.000755
14,403.439,0.62244,0.58165,0.94767,0.91148,0.94312,0.96446,0.79336,0.60229,0.42141,0.93169,0.00071375,0.00071375,0.00071375
15,431.578,0.62714,0.5751,0.95857,0.9283,0.93825,0.96622,0.78891,0.59174,0.41713,0.93099,0.0006725,0.0006725,0.0006725
16,459.981,0.61197,0.54715,0.94363,0.96402,0.9257,0.97092,0.80731,0.58431,0.4023,0.92274,0.00063125,0.00063125,0.00063125
17,487.839,0.61118,0.51385,0.94198,0.95299,0.93823,0.97735,0.81053,0.58432,0.39199,0.9186,0.00059,0.00059,0.00059
18,515.767,0.60342,0.51786,0.94259,0.95488,0.94181,0.97886,0.81417,0.57729,0.37389,0.91905,0.00054875,0.00054875,0.00054875
19,544.364,0.58732,0.48158,0.93171,0.95918,0.94106,0.97847,0.82776,0.55786,0.37427,0.90133,0.0005075,0.0005075,0.0005075
20,572.497,0.57605,0.45882,0.92402,0.97949,0.96025,0.9892,0.83285,0.55672,0.34216,0.90276,0.00046625,0.00046625,0.00046625
21,599.918,0.57865,0.4613,0.90798,0.9684,0.96251,0.98749,0.83581,0.55495,0.35513,0.89704,0.000425,0.000425,0.000425
22,625.312,0.57258,0.45378,0.9059,0.97278,0.94561,0.98609,0.84414,0.53429,0.36074,0.89388,0.00038375,0.00038375,0.00038375
23,651.016,0.55919,0.43633,0.89951,0.97279,0.96892,0.98996,0.85011,0.52949,0.33237,0.88818,0.0003425,0.0003425,0.0003425
24,676.962,0.53921,0.41105,0.88435,0.97991,0.97641,0.98535,0.84693,0.52416,0.32174,0.88855,0.00030125,0.00030125,0.00030125
25,702.743,0.54553,0.39571,0.90313,0.9685,0.98384,0.99099,0.86017,0.51225,0.31266,0.88044,0.00026,0.00026,0.00026
26,728.236,0.52647,0.3754,0.88231,0.98109,0.97898,0.99206,0.86353,0.51602,0.29915,0.87679,0.00021875,0.00021875,0.00021875
27,753.619,0.51803,0.36019,0.88032,0.97523,0.98523,0.99271,0.86353,0.50001,0.29012,0.8726,0.0001775,0.0001775,0.0001775
28,778.659,0.50994,0.34879,0.87164,0.98657,0.98368,0.99349,0.86699,0.4986,0.2837,0.86868,0.00013625,0.00013625,0.00013625
29,803.906,0.50655,0.34553,0.87987,0.98324,0.98895,0.99361,0.86963,0.48851,0.2782,0.86534,9.5e-05,9.5e-05,9.5e-05
30,829.598,0.50059,0.33519,0.87641,0.98797,0.98971,0.99386,0.87445,0.48588,0.27061,0.86528,5.375e-05,5.375e-05,5.375e-05
