epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0016,0.77823,2.3568,0.93969,0.99472,0.21951,0.66084,0.54929,0.67708,2.78284,0.88022,0.000409091,0.000409091,0.000409091
2,25.309,0.76946,1.32982,0.93752,0.72312,0.71234,0.77308,0.59962,0.74789,1.61683,0.94257,0.000798508,0.000798508,0.000798508
3,37.7793,0.76589,1.21322,0.93952,0.71321,0.72469,0.7591,0.59619,0.73202,1.38221,0.9379,0.00116042,0.00116042,0.00116042
4,50.3666,0.74235,1.03788,0.93829,0.89434,0.74072,0.85866,0.66908,0.71297,0.77981,0.94809,0.00112625,0.00112625,0.00112625
5,63.3673,0.70962,0.93419,0.93006,0.8689,0.81589,0.85088,0.67476,0.67554,0.91944,0.92365,0.001085,0.001085,0.001085
6,75.5823,0.71531,0.85528,0.93859,0.89327,0.84564,0.90511,0.70617,0.67931,0.71539,0.92109,0.00104375,0.00104375,0.00104375
7,87.8068,0.71432,0.79575,0.93694,0.90696,0.8334,0.89638,0.72586,0.65603,0.60386,0.90111,0.0010025,0.0010025,0.0010025
8,99.7778,0.68783,0.72183,0.94048,0.9225,0.90462,0.94672,0.7462,0.65943,0.52525,0.90559,0.00096125,0.00096125,0.00096125
9,111.755,0.6663,0.68813,0.91517,0.88791,0.86599,0.9152,0.73058,0.63452,0.54536,0.89938,0.00092,0.00092,0.00092
10,124.065,0.65551,0.63221,0.92274,0.94697,0.85813,0.9321,0.75861,0.61246,0.49445,0.88362,0.00087875,0.00087875,0.00087875
11,135.926,0.63887,0.60248,0.91044,0.93359,0.90026,0.94236,0.77128,0.59257,0.47718,0.88038,0.0008375,0.0008375,0.0008375
12,148.378,0.64082,0.58598,0.91367,0.93441,0.90855,0.95136,0.76595,0.62195,0.47533,0.87796,0.00079625,0.00079625,0.00079625
13,160.479,0.6295,0.54535,0.88928,0.9354,0.93182,0.9632,0.79648,0.58312,0.41964,0.86529,0.000755,0.000755,0.000755
14,172.426,0.61453,0.52473,0.89659,0.95905,0.92843,0.96674,0.79731,0.59117,0.41603,0.8744,0.00071375,0.00071375,0.00071375
15,184.371,0.61845,0.52186,0.90195,0.9473,0.93025,0.95368,0.78963,0.55716,0.44381,0.85294,0.0006725,0.0006725,0.0006725
16,196.318,0.59342,0.50854,0.88916,0.95331,0.94836,0.96787,0.81649,0.54674,0.38502,0.85269,0.00063125,0.00063125,0.00063125
17,208.415,0.60559,0.49446,0.89939,0.95459,0.93784,0.96964,0.80592,0.56204,0.39316,0.86111,0.00059,0.00059,0.00059
18,220.305,0.58821,0.47879,0.89263,0.94821,0.95336,0.97367,0.82901,0.53702,0.36264,0.84927,0.00054875,0.00054875,0.00054875
19,232.274,0.5771,0.45154,0.88369,0.94995,0.95186,0.97222,0.83219,0.52633,0.34887,0.84418,0.0005075,0.0005075,0.0005075
20,244.282,0.56689,0.43362,0.88234,0.97301,0.95505,0.97561,0.84022,0.52281,0.34071,0.84088,0.00046625,0.00046625,0.00046625
21,256.849,0.55192,0.42105,0.84763,0.97764,0.95845,0.97854,0.84268,0.52087,0.34461,0.83832,0.000425,0.000425,0.000425
22,268.655,0.54621,0.40552,0.84831,0.9765,0.95525,0.98172,0.84755,0.50824,0.33341,0.83779,0.00038375,0.00038375,0.00038375
23,279.976,0.54032,0.39549,0.8483,0.98444,0.96302,0.9843,0.84133,0.50598,0.32413,0.83639,0.0003425,0.0003425,0.0003425
24,291.748,0.51888,0.37736,0.83403,0.97047,0.95894,0.97957,0.84098,0.51101,0.32498,0.83715,0.00030125,0.00030125,0.00030125
25,303.123,0.52307,0.36661,0.84138,0.98674,0.96575,0.98469,0.85372,0.49107,0.30518,0.83052,0.00026,0.00026,0.00026
26,314.333,0.51259,0.35978,0.83883,0.98543,0.97131,0.98731,0.85885,0.49425,0.30565,0.82924,0.00021875,0.00021875,0.00021875
27,325.625,0.50471,0.34087,0.84029,0.98304,0.97936,0.98955,0.86668,0.4766,0.29349,0.82458,0.0001775,0.0001775,0.0001775
28,336.907,0.49943,0.33698,0.84264,0.98872,0.97141,0.98888,0.8726,0.47196,0.28404,0.82225,0.00013625,0.00013625,0.00013625
29,348.238,0.4959,0.32785,0.83544,0.98528,0.97469,0.98909,0.87244,0.46628,0.28103,0.82082,9.5e-05,9.5e-05,9.5e-05
30,359.591,0.48467,0.32124,0.8287,0.98357,0.97622,0.98932,0.87396,0.46077,0.27378,0.81904,5.375e-05,5.375e-05,5.375e-05
